doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1016/j.bbmt.2011.12.041,hybrid,hybrid,1083-8791,Biology of Blood and Marrow Transplantation,Elsevier BV,2012-02-01
10.1016/j.ajo.2013.05.002,closed,closed,0002-9394,American Journal of Ophthalmology,Elsevier BV,2013-09-01
10.1093/annonc/mds578,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2013-04-01
10.3109/10428194.2013.809074,closed,closed,"1042-8194,1029-2403",Leukemia & Lymphoma,Informa UK Limited,2013-07-29
10.1002/lsm.22041,closed,closed,0196-8092,Lasers in Surgery and Medicine,Wiley,2012-06-12
10.1007/s00392-011-0393-1,closed,closed,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2011-12-21
10.1200/jco.2012.46.4990,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-09-01
10.1016/j.jcf.2010.10.003,bronze,green,1569-1993,Journal of Cystic Fibrosis,Elsevier BV,2011-01-01
10.1158/1078-0432.ccr-10-2082,closed,closed,"1078-0432,1557-3265",Clinical Cancer Research,American Association for Cancer Research (AACR),2010-11-14
10.3109/10428194.2014.961011,closed,closed,"1042-8194,1029-2403",Leukemia & Lymphoma,Informa UK Limited,2014-10-09
10.1055/s-0029-1222046,closed,closed,"1861-9002,1861-9010",Diabetologie und Stoffwechsel,Georg Thieme Verlag KG,2009-04-01
10.1111/ajt.13835,closed,closed,1600-6135,American Journal of Transplantation,Wiley,2016-06-15
10.1159/000439188,green,green,"0030-3755,1423-0267",Ophthalmologica,S. Karger AG,2015-01-01
10.1016/j.leukres.2011.12.010,green,green,0145-2126,Leukemia Research,Elsevier BV,2012-04-01
10.1177/1545968311413906,closed,closed,"1545-9683,1552-6844",Neurorehabilitation and Neural Repair,SAGE Publications,2011-08-08
10.1016/j.ejca.2011.04.006,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2011-07-01
10.1038/ki.2011.349,bronze,bronze,0085-2538,Kidney International,Elsevier BV,2012-02-01
10.1093/jac/dkq458,bronze,green,"0305-7453,1460-2091",Journal of Antimicrobial Chemotherapy,Oxford University Press (OUP),2010-12-31
10.1111/aos.12179,closed,closed,1755-375X,Acta Ophthalmologica,Wiley,2013-09-25
10.1093/neuonc/noq142,hybrid,hybrid,"1522-8517,1523-5866",Neuro-Oncology,Oxford University Press (OUP),2010-10-27
10.1001/jamadermatol.2016.0401,bronze,bronze,2168-6068,JAMA Dermatology,American Medical Association (AMA),2016-07-01
10.1038/bmt.2012.257,closed,closed,"0268-3369,1476-5365",Bone Marrow Transplantation,Springer Science and Business Media LLC,2012-12-17
10.1093/annonc/mdw418,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2016-12-01
10.1111/j.1742-1241.2011.02637.x,gold,gold,1368-5031,International Journal of Clinical Practice,Hindawi Limited,2011-02-22
10.1210/jc.2012-1419,bronze,bronze,"0021-972X,1945-7197",The Journal of Clinical Endocrinology &amp; Metabolism,The Endocrine Society,2012-10-01
10.1016/j.ophtha.2012.07.068,closed,closed,0161-6420,Ophthalmology,Elsevier BV,2013-02-01
10.1007/s00432-013-1518-x,closed,closed,"0171-5216,1432-1335",Journal of Cancer Research and Clinical Oncology,Springer Science and Business Media LLC,2013-09-27
10.2337/dc10-1233,hybrid,hybrid,"0149-5992,1935-5548",Diabetes Care,American Diabetes Association,2011-03-21
10.1002/lary.22173,closed,closed,0023-852X,The Laryngoscope,Wiley,2011-10-12
10.1038/bjc.2013.62,hybrid,hybrid,"0007-0920,1532-1827",British Journal of Cancer,Springer Science and Business Media LLC,2013-02-14
10.1111/ajt.12155,bronze,bronze,1600-6135,American Journal of Transplantation,Wiley,2013-02-13
10.1093/eurheartj/ehw027,bronze,bronze,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2016-02-22
10.1159/000355671,closed,closed,"1018-8665,1421-9832",Dermatology,S. Karger AG,2013-01-01
10.3109/0284186x.2013.833346,closed,closed,"0284-186X,1651-226X",Acta Oncologica,Informa UK Limited,2013-09-12
10.1016/j.ejca.2016.05.015,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2016-09-01
10.1097/cmr.0000000000000056,closed,closed,0960-8931,Melanoma Research,Ovid Technologies (Wolters Kluwer Health),2014-06-01
10.1016/j.jalz.2009.04.1231,closed,closed,"1552-5260,1552-5279",Alzheimer's &amp; Dementia,Wiley,2010-01-01
10.4161/21645515.2014.983857,bronze,green,"2164-5515,2164-554X",Human Vaccines &amp; Immunotherapeutics,Informa UK Limited,2014-11-02
10.1016/j.jvs.2011.10.022,bronze,bronze,0741-5214,Journal of Vascular Surgery,Elsevier BV,2012-03-01
10.1016/j.athoracsur.2010.06.069,closed,closed,0003-4975,The Annals of Thoracic Surgery,Elsevier BV,2010-11-01
10.1016/j.expneurol.2013.08.017,closed,closed,0014-4886,Experimental Neurology,Elsevier BV,2013-11-01
10.1007/s00417-010-1385-y,closed,closed,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2010-04-20
10.1200/jco.2014.57.2388,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-03-20
10.1111/epi.12042,closed,closed,0013-9580,Epilepsia,Wiley,2012-12-06
10.1093/ejcts/ezt128,bronze,green,"1873-734X,1010-7940",European Journal of Cardio-Thoracic Surgery,Oxford University Press (OUP),2013-03-25
10.1016/j.schres.2014.03.028,closed,closed,0920-9964,Schizophrenia Research,Elsevier BV,2014-06-01
10.3109/10428194.2015.1030641,closed,closed,"1042-8194,1029-2403",Leukemia &amp; Lymphoma,Informa UK Limited,2015-05-15
10.1161/circinterventions.114.001478,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2014-12-01
10.1161/hypertensionaha.111.173542,bronze,bronze,"0194-911X,1524-4563",Hypertension,Ovid Technologies (Wolters Kluwer Health),2011-10-01
10.1093/annonc/mdx343,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2017-10-01
10.1093/eurheartj/ehu336,hybrid,hybrid,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2014-09-01
10.1026/0942-5403/a000046,closed,closed,"0942-5403,2190-6246",Kindheit und Entwicklung,Hogrefe Publishing Group,2011-04-01
10.1161/circinterventions.112.000371,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2013-08-01
10.1016/s0168-8278(11)60030-5,closed,closed,0168-8278,Journal of Hepatology,Elsevier BV,2011-03-01
10.1002/mus.24332,hybrid,hybrid,"0148-639X,1097-4598",Muscle &amp; Nerve,Wiley,2014-09-22
10.1055/s-0031-1291385,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2011-11-28
10.1007/s10840-013-9811-9,closed,closed,"1383-875X,1572-8595",Journal of Interventional Cardiac Electrophysiology,Springer Science and Business Media LLC,2013-07-19
10.1177/1545968311418675,closed,closed,"1545-9683,1552-6844",Neurorehabilitation and Neural Repair,SAGE Publications,2011-09-01
10.1016/j.jaci.2010.07.042,closed,closed,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2011-01-01
10.1158/1538-7445.am2016-3269,closed,closed,NA,Tumor Biology,American Association for Cancer Research,2016-07-15
10.1111/j.1365-2133.2011.10585.x,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2011-10-17
10.1002/mus.25776,closed,closed,0148-639X,Muscle &amp; Nerve,Wiley,2017-09-18
10.1016/j.ejca.2014.09.013,hybrid,hybrid,0959-8049,European Journal of Cancer,Elsevier BV,2014-12-01
10.1038/ajh.2010.29,closed,closed,"0895-7061,1941-7225",American Journal of Hypertension,Oxford University Press (OUP),2010-06-01
10.1007/s00115-012-3723-2,closed,closed,"0028-2804,1433-0407",Der Nervenarzt,Springer Science and Business Media LLC,2013-02-09
10.1111/j.1600-0838.2011.01335.x,closed,closed,0905-7188,Scandinavian Journal of Medicine &amp; Science in Sports,Wiley,2011-06-02
10.2340/00015555-2593,gold,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2017-01-01
10.1002/art.30114,closed,closed,0004-3591,Arthritis &amp; Rheumatism,Wiley,2011-01-28
10.1159/000351149,closed,closed,"1015-9770,1421-9786",Cerebrovascular Diseases,S. Karger AG,2013-01-01
10.1111/j.1365-2222.2012.03971.x,closed,closed,0954-7894,Clinical &amp; Experimental Allergy,Wiley,2012-01-31
10.1055/s-0031-1292023,closed,closed,"0012-0472,1439-4413",DMW - Deutsche Medizinische Wochenschrift,Georg Thieme Verlag KG,2011-10-01
10.1371/journal.pone.0173593,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-06-06
10.1016/s1470-2045(13)70102-5,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2013-05-01
10.1093/ejo/cjt043,bronze,bronze,"0141-5387,1460-2210",The European Journal of Orthodontics,Oxford University Press (OUP),2013-07-03
10.1016/j.ypmed.2010.07.008,green,green,0091-7435,Preventive Medicine,Elsevier BV,2010-09-01
10.1007/s00391-012-0337-z,closed,closed,"0948-6704,1435-1269",Zeitschrift für Gerontologie und Geriatrie,Springer Science and Business Media LLC,2012-04-28
10.1055/s-0030-1256247,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2011-03-07
10.1002/lsm.22255,closed,closed,0196-8092,Lasers in Surgery and Medicine,Wiley,2014-05-06
10.4137/mri.s19794,hybrid,hybrid,"1178-623X,1178-623X",Magnetic Resonance Insights,SAGE Publications,2015-01-01
10.1016/j.jacc.2010.03.089,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2010-10-01
10.1007/s10549-013-2632-9,closed,closed,"0167-6806,1573-7217",Breast Cancer Research and Treatment,Springer Science and Business Media LLC,2013-07-01
10.3324/haematol.2012.067629,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2012-09-01
10.3109/10428194.2015.1028055,closed,closed,"1042-8194,1029-2403",Leukemia & Lymphoma,Informa UK Limited,2015-03-31
10.3109/15622975.2010.540257,green,green,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2010-12-14
10.1016/j.ajog.2015.08.051,bronze,bronze,0002-9378,American Journal of Obstetrics and Gynecology,Elsevier BV,2016-01-01
10.1053/j.gastro.2017.10.014,closed,closed,0016-5085,Gastroenterology,Elsevier BV,2018-02-01
10.1158/1078-0432.ccr-14-0804,green,green,"1078-0432,1557-3265",Clinical Cancer Research,American Association for Cancer Research (AACR),2014-11-30
10.1093/eurheartj/eht039,green,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2013-03-13
10.1007/s00586-016-4796-6,closed,closed,"0940-6719,1432-0932",European Spine Journal,Springer Science and Business Media LLC,2016-10-04
10.1001/jamapediatrics.2015.0504,bronze,bronze,2168-6203,JAMA Pediatrics,American Medical Association (AMA),2015-08-01
10.1016/j.healun.2010.08.030,closed,closed,1053-2498,The Journal of Heart and Lung Transplantation,Elsevier BV,2011-02-01
10.1007/s00431-014-2472-6,closed,closed,"0340-6199,1432-1076",European Journal of Pediatrics,Springer Science and Business Media LLC,2014-12-19
10.1007/s00392-014-0780-5,closed,closed,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2014-11-01
10.1111/j.1463-1326.2012.01634.x,closed,closed,1462-8902,"Diabetes, Obesity and Metabolism",Wiley,2012-07-08
10.1016/s0167-8140(15)30355-8,closed,closed,0167-8140,Radiotherapy and Oncology,Elsevier BV,2014-01-01
10.1016/j.jpsychires.2010.09.008,closed,closed,0022-3956,Journal of Psychiatric Research,Elsevier BV,2011-05-01
10.1016/j.pain.2014.01.006,closed,closed,0304-3959,Pain,Ovid Technologies (Wolters Kluwer Health),2014-04-01
10.1111/bjh.13353,bronze,bronze,0007-1048,British Journal of Haematology,Wiley,2015-03-29
10.1038/bjc.2013.409,hybrid,hybrid,"0007-0920,1532-1827",British Journal of Cancer,Springer Science and Business Media LLC,2013-08-20
10.1200/jco.2014.55.1481,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-06-20
10.1016/j.ahj.2013.01.010,closed,closed,0002-8703,American Heart Journal,Elsevier BV,2013-05-01
10.1038/leu.2013.7,closed,closed,"0887-6924,1476-5551",Leukemia,Springer Science and Business Media LLC,2013-01-14
10.1093/bja/aes140,bronze,bronze,0007-0912,British Journal of Anaesthesia,Elsevier BV,2012-08-01
10.1038/ajg.2013.197,closed,closed,0002-9270,American Journal of Gastroenterology,Ovid Technologies (Wolters Kluwer Health),2013-09-01
10.1016/j.ijcard.2014.03.178,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2014-06-01
10.4244/eijv7i2a33,closed,closed,1774-024X,EuroIntervention,Europa Digital & Publishing,2011-06-01
10.1097/mao.0000000000000466,closed,closed,1531-7129,Otology &amp; Neurotology,Ovid Technologies (Wolters Kluwer Health),2014-09-01
10.1016/j.ahj.2013.12.023,closed,closed,0002-8703,American Heart Journal,Elsevier BV,2014-04-01
10.1111/ecc.12458,closed,closed,0961-5423,European Journal of Cancer Care,Wiley,2016-02-09
10.5414/cp202109,closed,closed,0946-1965,Int. Journal of Clinical Pharmacology and Therapeutics,Dustri-Verlgag Dr. Karl Feistle,2014-08-01
10.1007/s00408-015-9763-1,closed,closed,"0341-2040,1432-1750",Lung,Springer Science and Business Media LLC,2015-07-09
10.1038/clpt.2011.255,green,green,"0009-9236,1532-6535",Clinical Pharmacology &amp; Therapeutics,Springer Science and Business Media LLC,2012-02-01
10.1007/s00394-013-0647-y,closed,closed,"1436-6207,1436-6215",European Journal of Nutrition,Springer Science and Business Media LLC,2014-01-31
10.1016/j.sleep.2014.02.012,closed,closed,1389-9457,Sleep Medicine,Elsevier BV,2014-08-01
10.1097/igc.0000000000000831,closed,closed,"1048-891X,1525-1438",International Journal of Gynecologic Cancer,BMJ,2016-11-01
10.1016/j.athoracsur.2012.07.085,closed,closed,0003-4975,The Annals of Thoracic Surgery,Elsevier BV,2012-12-01
10.1002/jor.22934,bronze,bronze,"0736-0266,1554-527X",Journal of Orthopaedic Research,Wiley,2015-05-18
10.7150/jca.4211,gold,gold,1837-9664,Journal of Cancer,Ivyspring International Publisher,2012-01-01
10.1017/s0022215112000102,closed,closed,"0022-2151,1748-5460",The Journal of Laryngology &amp; Otology,Cambridge University Press (CUP),2012-02-27
10.1182/blood-2015-05-647420,bronze,bronze,"0006-4971,1528-0020",Blood,American Society of Hematology,2015-09-10
10.1016/j.jtcvs.2011.12.062,bronze,bronze,0022-5223,The Journal of Thoracic and Cardiovascular Surgery,Elsevier BV,2013-02-01
10.1159/000381957,closed,closed,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2015-01-01
10.3324/haematol.2012.071456,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2012-09-14
10.1007/s00392-013-0572-3,closed,closed,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2013-05-05
10.1111/j.1365-2133.2012.10887.x,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2012-06-01
10.1016/s0959-8049(11)70845-0,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2011-09-01
10.1016/j.nmd.2013.06.580,closed,closed,0960-8966,Neuromuscular Disorders,Elsevier BV,2013-10-01
10.1016/j.ijcard.2013.01.003,green,green,0167-5273,International Journal of Cardiology,Elsevier BV,2013-10-01
10.1200/jco.2015.63.2596,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-07-01
10.1111/jce.12910,bronze,bronze,1045-3873,Journal of Cardiovascular Electrophysiology,Wiley,2016-03-01
10.1177/0268355514529507,closed,closed,"0268-3555,1758-1125",Phlebology: The Journal of Venous Disease,SAGE Publications,2014-05-01
10.1093/ejcts/ezv040,bronze,bronze,"1010-7940,1873-734X",European Journal of Cardio-Thoracic Surgery,Oxford University Press (OUP),2015-03-06
10.3928/01477447-20160509-10,closed,closed,"0147-7447,1938-2367",Orthopedics,"SLACK, Inc.",2016-05-01
10.1111/liv.12750,closed,closed,1478-3223,Liver International,Wiley,2015-01-17
10.1111/ene.12344,closed,closed,1351-5101,European Journal of Neurology,Wiley,2014-01-21
10.1212/wnl.0b013e318233b240,closed,closed,"0028-3878,1526-632X",Neurology,Ovid Technologies (Wolters Kluwer Health),2011-10-05
10.1016/j.euroneuro.2013.01.001,closed,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2013-11-01
10.1002/cncr.29229,bronze,bronze,0008-543X,Cancer,Wiley,2015-01-21
10.1007/s00392-017-1144-8,closed,closed,"1861-0684,1861-0692",Clinical Research in Cardiology,Springer Science and Business Media LLC,2017-08-28
10.3109/15622975.2012.708438,closed,closed,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2012-08-22
10.1007/s00586-012-2330-z,green,green,"0940-6719,1432-0932",European Spine Journal,Springer Science and Business Media LLC,2012-05-08
10.1200/jco.2013.31.15_suppl.3586,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-05-20
10.1016/j.eurpsy.2014.11.010,closed,closed,"0924-9338,1778-3585",European Psychiatry,Cambridge University Press (CUP),2015-02-01
10.1097/aln.0b013e3181f4182a,bronze,bronze,0003-3022,Anesthesiology,Ovid Technologies (Wolters Kluwer Health),2010-11-01
10.1148/radiol.12111194,closed,closed,"0033-8419,1527-1315",Radiology,Radiological Society of North America (RSNA),2012-11-01
10.1152/japplphysiol.00532.2009,closed,closed,"8750-7587,1522-1601",Journal of Applied Physiology,American Physiological Society,2009-12-01
10.1111/all.12622,closed,closed,0105-4538,Allergy,Wiley,2015-04-20
10.12968/bjon.2011.20.sup9.s4,closed,closed,"0966-0461,2052-2819",British Journal of Nursing,Mark Allen Group,2011-09-06
10.1111/jcpe.12019,closed,closed,0303-6979,Journal of Clinical Periodontology,Wiley,2012-10-10
10.1002/mds.25661,closed,closed,0885-3185,Movement Disorders,Wiley,2013-11-04
10.1038/clpt.2010.20,closed,closed,"0009-9236,1532-6535",Clinical Pharmacology &amp; Therapeutics,Springer Science and Business Media LLC,2010-04-07
10.1161/circulationaha.111.059477,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2012-04-03
10.1111/j.1708-8208.2010.00324.x,green,green,"1523-0899,1708-8208",Clinical Implant Dentistry and Related Research,Wiley,2011-03-17
10.1007/s00415-012-6527-1,closed,closed,"0340-5354,1432-1459",Journal of Neurology,Springer Science and Business Media LLC,2012-05-15
10.1093/annonc/mdx369.044,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2017-09-01
10.1055/s-0032-1325460,closed,closed,"0172-4614,1438-8782",Ultraschall in der Medizin - European Journal of Ultrasound,Georg Thieme Verlag KG,2012-11-09
10.1016/j.ophtha.2014.10.006,closed,closed,0161-6420,Ophthalmology,Elsevier BV,2015-04-01
10.1345/aph.1r725,closed,closed,"1060-0280,1542-6270",Annals of Pharmacotherapy,SAGE Publications,2013-06-04
